Week Starting,Clinician 1,Clinician 2,Clinician 3,Clinician 4,Clinician 5,Clinician 6,Clinician 7,Clinician 8,Clinician 9,Clinician 10,Clinician 11,Clinician 12,Clinician 13,Clinician 14,Clinician 15,Clinician 16,Clinician 17,Clinician 18,Clinician 19,Clinician 20
6/30/2025,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,-1,0,0,-1,0,0
7/7/2025,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,-1,0,0
7/14/2025,1,1,1,0,0,-1,1,0,0,-1,0,0,0,-1,-1,-1,0,-1,0,0
7/21/2025,0,0,-1,0,1,0,0,1,0,0,1,0,1,1,-1,1,0,-1,0,0
7/28/2025,-1,0,0,0,-1,0,0,0,1,0,1,0,1,1,0,0,1,-1,0,-1
8/4/2025,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
8/11/2025,0,0,-1,0,-1,0,1,0,1,0,0,0,1,0,-1,0,0,1,0,0
8/18/2025,0,-1,1,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,1,0
8/25/2025,0,0,-1,0,-1,0,0,0,1,-1,0,-1,0,0,0,0,1,0,0,0
9/1/2025,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,-1,1,0,0,-1,0
9/8/2025,0,0,0,0,0,0,0,0,-1,1,1,0,-1,0,-1,1,0,0,-1,-1
9/15/2025,1,-1,0,-1,0,0,-1,-1,1,0,-1,-1,1,0,0,-1,-1,0,0,0
9/22/2025,0,1,0,-1,-1,-1,0,1,1,0,-1,-1,-1,1,1,-1,1,0,0,1
9/29/2025,0,0,-1,0,-1,-1,0,1,-1,0,0,-1,-1,0,0,1,-1,1,0,-1
10/6/2025,0,0,0,-1,0,-1,0,0,0,1,1,1,0,1,0,1,-1,-1,0,-1
10/13/2025,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1
10/20/2025,0,0,-1,0,0,1,1,-1,1,1,-1,1,1,1,0,0,0,0,0,0
10/27/2025,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,1,-1,0,0,1,0
11/3/2025,0,0,0,-1,0,0,1,0,0,0,-1,1,-1,0,0,0,-1,1,1,0
11/10/2025,-1,1,0,0,0,0,-1,0,-1,0,-1,1,-1,0,0,0,1,-1,0,0
